Instance: uvm_test_top.env.axi4_master_0.logger
AXI4 Clk Cycle = 2 ns; AXI4 Clk Frequency = 500.00 MHz; Data bus width = 32 bits
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| ID | VALID Assert Time  | READY Assert Time  |  DIR  |  ADDR  |  BEAT   |  L  |WSTRB|   DATA   | RESP | L | BURST | BURST | A | A | A | A | A |  AUSER| RWUSER|  BUSER|
|    |                    |                    |   -   |        |   NUM   |  E  |     |          |      | A | Type  | Size  | L | C | P | Q | R |       |       |       |
|    |                    |                    | PHASE |        |         |  N  |     |          |      | S |       |       | O | A | R | O | E |       |       |       |
|    |                    |                    |       |        |         |     |     |          |      | T |       |       | C | C | O | S | G |       |       |       |
|    |                    |                    |       |        |         |     |     |          |      |   |       |       | K | H | T |   | I |       |       |       |
|    |                    |                    |       |        |         |     |     |          |      |   |       |       |   | E |   |   | O |       |       |       |
|    |                    |                    |       |        |         |     |     |          |      |   |       |       |   |   |   |   | N |       |       |       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| -- |                5 ns|                7 ns|WR-DATA|00000000|   1/  4 | --- |    f| 03020100 | ---- | 0 | ----- | ----- | - | - | - | - | - |       |0000000|       |
| 00 |                5 ns|                7 ns|WR-CMD |00000000| ------- |   4 |-----|----------| ---- | - |  INCR |   4   | 0 | 0 | 0 | 0 | 0 |0000000|-------|-------|
| -- |                7 ns|                9 ns|WR-DATA|00000004|   2/  4 | --- |    f| 07060504 | ---- | 0 | ----- | ----- | - | - | - | - | - |       |0000000|       |
| -- |                9 ns|               11 ns|WR-DATA|00000008|   3/  4 | --- |    f| 0B0A0908 | ---- | 0 | ----- | ----- | - | - | - | - | - |       |0000000|       |
| -- |               11 ns|               13 ns|WR-DATA|0000000C|   4/  4 | --- |    f| 0F0E0D0C | ---- | 1 | ----- | ----- | - | - | - | - | - |       |0000000|       |
| 00 |               27 ns|               27 ns|WR-RESP|00000000| ------- | --- |-----|----------|OKAY  | - | ----- | ----- | - | - | - | - | - |-------|-------|0000000|
| 00 |               27 ns|               29 ns|RD-CMD |00000000| ------- |   4 |-----|----------| ---- | - |  INCR |   4   | 0 | 0 | 0 | 0 | 0 |0000000|-------|-------|
